"last_name, first_name","player_id","year","on_base_plus_slg","xba","xiso","wobacon","xwobacon","bacon","xbacon","xbadiff","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","attack_angle","attack_direction","ideal_angle_rate","vertical_swing_path","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","solidcontact_percent","flareburner_percent","poorlyunder_percent","poorlytopped_percent","poorlyweak_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed"
"Bregman, Alex",608324,2023,"0.804",".266",".163",".344",".344",".304",".309","-0.004","70.2",5.5,12.8,11.5,43.3,38.9,"6.9",6,12.1,-0.9,68.2,28.8,"88.6","17.6",35.8,29,5.4,10.1,24.8,30.2,27.9,1.7,38.2,"98.071537732","93.248960689"
"Nootbaar, Lars",663457,2023,"0.785",".265",".171",".372",".390",".336",".345","-0.004","72.2",23,11.7,10.2,36.5,31.9,"7",5,9.1,-2,63.5,30.2,"89.1","7.2",30.8,29,8.8,5.4,26,19.3,36.9,3.6,37.8,"100.334219085","94.369985457"
"McMahon, Ryan",641857,2023,"0.753",".245",".201",".435",".452",".369",".379","-0.005","72.2",23.1,14.2,9.4,26.2,17.3,"7.3",7,8.8,4.4,39.7,38.5,"90.8","9.7",39.4,41,11.4,6.4,29.4,20.3,28.3,4.2,44.2,"102.017798324","95.343043101"
"Hernández, Enrique",571771,2023,"0.646",".224",".113",".315",".302",".294",".281",".013","72.3",23.4,11.8,9.8,33.3,27.5,"7.5",13,6.5,-4.1,43.5,28.2,"87.8","17",31,17,4.5,5.1,23,34.8,29.4,3.2,33.7,"97.831208503","92.980265241"
"Profar, Jurickson",595777,2023,"0.689",".247",".102",".319",".320",".297",".308","-0.005","71",19.7,11.2,9.2,34.5,28.5,"7.3",3,8.9,-1.1,50.2,32.3,"86.5","14.8",37.7,15,4,5.1,26.5,28.6,31.3,4.5,31.8,"97.18982877","92.606877674"
"LeMahieu, DJ",518934,2023,"0.717",".255",".138",".357",".369",".324",".340","-0.012","68.2",4.2,13.9,11.7,35.7,29.9,"7.3",6,7.2,6.9,53.9,29.5,"89.6","3.8",31.6,22,5.9,6.4,28.6,15,42,2.1,43,"100.265359786","94.32212244"
"Yelich, Christian",592885,2023,"0.817",".284",".176",".412",".425",".372",".381","-0.006","73.6",39.5,18.6,13.7,30.3,22.4,"7.4",8,7.6,7.2,40.2,36.4,"91.7","3.5",30.4,38,9.2,6.1,28.5,11.4,42.1,2.4,50.1,"103.18368722","96.096251589"
"Torkelson, Spencer",679529,2023,"0.759",".251",".233",".391",".428",".320",".348","-0.018","75",50.4,17.7,13.7,29.8,23,"7.6",10,10.9,-8.3,55.6,31.6,"91.8","17.1",33.2,62,14.1,7,21.4,29.3,26.4,1.4,50.9,"102.691928356","96.002045502"
"Perez, Salvador",521692,2023,"0.714",".266",".194",".375",".407",".333",".353","-0.011","72.7",29.1,16.1,11.9,30.7,22.7,"7.9",6,12.9,-4.6,55.9,34.6,"90.1","15.6",38,36,8.8,9.7,25.8,28.2,23.8,3.4,44,"101.357412537","94.955683293"
"Happ, Ian",664023,2023,"0.791",".254",".173",".383",".392",".333",".345","-0.006","71.8",19.3,13,10.1,34.3,26.6,"6.9",7,9.7,-1,46.5,31.7,"89.9","13",36.7,39,9,5.5,25.2,27.3,30,2.5,39,"99.676936326","94.121891884"
"Canha, Mark",592192,2023,"0.755",".248",".133",".339",".326",".315",".301",".014","67.8",3.5,8.8,7.5,34.5,29.4,"7.3",7,12.6,-3.4,54.3,30.8,"87.9","13.1",30.9,17,4.7,6.6,22.4,28.5,32.6,5,36.7,"98.959607624","93.632062936"
"Goldschmidt, Paul",502671,2023,"0.810",".271",".220",".413",".440",".366",".371","-0.003","72.1",18.7,15.7,11.9,29.3,22.2,"7.5",4,8.5,5.8,47.2,32.7,"91.3","12.8",35.6,52,12,8.5,25.1,22.1,28.7,3.7,50.8,"102.40959555","95.767792759"
"Drury, Brandon",592273,2023,"0.803",".252",".188",".435",".405",".359",".349",".010","71.7",17.2,19.9,14.3,32.5,23.3,"7.5",17,9.5,-1.3,56.9,31,"89.9","11.8",35,39,11,7.6,22.6,22.3,31.9,4,46.3,"101.80875267","95.132794574"
"Benintendi, Andrew",643217,2023,"0.682",".270",".105",".313",".327",".309",".319","-0.008","67",2.3,8.4,6.8,39,31.5,"6.6",8,10.9,6.7,56.8,34.8,"86.6","14.5",40.9,14,2.9,3.4,30.8,30.2,28.7,3.8,27,"95.498075212","91.757391695"
